title,url,discounted_price,original_price
Authentic Steam Crave Aromamizer Ragnar RDTA Advanced Kit - SS,https://www.cigabuy.com/authentic-steam-crave-aromamizer-ragnar-rdta-advanced-kit-ss-p-19143.html,,$85.35
Authentic Wismec Luxotic 100W BF Squonk Tobhino RDA Kit - Green,https://www.cigabuy.com/authentic-wismec-luxotic-100w-bf-squonk-tobhino-rda-kit-green-p-11948.html,$14.69,$42.45 
Authentic Vandyvape GAUR-21 Mod - Sky Blue Resin,https://www.cigabuy.com/authentic-vandyvape-gaur-21-mod-sky-blue-resin-p-20366.html,,$58.70
1 x Authentic Wotofo H17 Rebuildable Deck Coil - Gunmetal,https://www.cigabuy.com/1-x-authentic-wotofo-h17-rebuildable-deck-coil-gunmetal-p-19875.html,,$16.01
Authentic Uwell Caliburn G POD kit - Blue,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-blue-p-19936.html,,$32.00
Authentic Vandyvape Jackaroo Pod Kit - Carbon Fiber Black,https://www.cigabuy.com/authentic-vandyvape-jackaroo-pod-kit-carbon-fiber-black-p-20637.html,,$37.32
Authentic Lost Vape Ursa Quest Multi Kit - SS Ukiran Leather,https://www.cigabuy.com/authentic-lost-vape-ursa-quest-multi-kit-ss-ukiran-leather-p-20480.html,,$50.74
1 x Authentic Uwell Aeglos Empty Pod Cartridge 3.5ml,https://www.cigabuy.com/1-x-authentic-uwell-aeglos-empty-pod-cartridge-35ml-p-20291.html,,$3.61
Authentic Steam Crave Aromamizer Titan V2 RDTA - Silver,https://www.cigabuy.com/authentic-steam-crave-aromamizer-titan-v2-rdta-silver-p-20601.html,,$78.58
3 x Authentic SMOK SCAR-P5 Empty Replacement RPM2 Pod,https://www.cigabuy.com/3-x-authentic-smok-scar-p5-empty-replacement-rpm2-pod-p-19364.html,$4.01,$5.32 
Authentic Uwell Caliburn G POD kit - Red,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-red-p-19937.html,,$32.00
5 x Authentic Wotofo nexMESH Clapton S A1+Ni80 0.15ohm Coil,https://www.cigabuy.com/5-x-authentic-wotofo-nexmesh-clapton-s-a1ni80-015ohm-coil-p-20471.html,,$9.90
Authentic Uwell Caliburn G POD kit - Rosy Brown,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-rosy-brown-p-19940.html,,$32.00
Authentic IJOY Captain Link Mod - Green,https://www.cigabuy.com/authentic-ijoy-captain-link-mod-green-p-20711.html,,$36.34
Authentic Uwell Valyrian II PRO Tank - Black & Silver,https://www.cigabuy.com/authentic-uwell-valyrian-ii-pro-tank-black-silver-p-20598.html,,$48.81
Authentic Geekvape Zeus Nano Tank - Silver,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-silver-p-19997.html,,$26.67
Authentic Steam Crave Aromamizer Titan V2 RDTA - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-titan-v2-rdta-black-p-20602.html,,$78.58
