rating,title,year,duration,genre,release,url
8.4,Witness for the Prosecution ,1957,1h 56min,"Crime, Drama, Mystery",6 February 1958 (USA),https://www.imdb.com/title/tt0051201/?ref_=adv_li_tt
8.3,Come and See ,1985,2h 22min,"Drama, Thriller, War",17 October 1985 (Hungary),https://www.imdb.com/title/tt0091251/?ref_=adv_li_tt
8.3,Aliens ,1986,2h 17min,"Action, Adventure, Sci-Fi",18 July 1986 (USA),https://www.imdb.com/title/tt0090605/?ref_=adv_li_tt
8.4,High and Low ,1963,2h 23min,"Crime, Drama, Mystery",26 November 1963 (USA),https://www.imdb.com/title/tt0057565/?ref_=adv_li_tt
8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,1h 35min,"Comedy, ",29 January 1964 (USA),https://www.imdb.com/title/tt0057012/?ref_=adv_li_tt
8.4,Apocalypse Now ,1979,2h 27min,"Drama, Mystery, War",15 August 1979 (USA),https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt
8.4,The Shining ,1980,2h 26min,"Drama, Horror",13 June 1980 (USA),https://www.imdb.com/title/tt0081505/?ref_=adv_li_tt
8.4,Alien ,1979,1h 57min,"Horror, Sci-Fi",22 June 1979 (USA),https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt
8.4,Princess Mononoke ,1997,2h 14min,"Animation, Action, Adventure",19 December 1997 (USA),https://www.imdb.com/title/tt0119698/?ref_=adv_li_tt
8.3,Das Boot ,1981,2h 29min,"Adventure, Drama, Thriller",10 February 1982 (USA),https://www.imdb.com/title/tt0082096/?ref_=adv_li_tt
8.4,Indiana Jones and the Raiders of the Lost Ark ,1981,1h 55min,"Action, Adventure",12 June 1981 (USA),https://www.imdb.com/title/tt0082971/?ref_=adv_li_tt
8.4,Once Upon a Time in America ,1984,3h 49min,"Crime, Drama",1 June 1984 (USA),https://www.imdb.com/title/tt0087843/?ref_=adv_li_tt
8.4,Memento ,2000,1h 53min,"Mystery, Thriller",25 May 2001 (USA),https://www.imdb.com/title/tt0209144/?ref_=adv_li_tt
8.4,Oldboy ,2003,2h,"Action, Drama, Mystery",21 November 2003 (South Korea),https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt
8.4,The Lives of Others ,2006,2h 17min,"Drama, Mystery, Thriller",30 March 2007 (USA),https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt
8.4,Like Stars on Earth ,2007,2h 45min,"Drama, Family",21 December 2007 (India),https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt
8.4,The Dark Knight Rises ,2012,2h 44min,"Action, Adventure",20 July 2012 (USA),https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt
8.4,WALL·E ,2008,1h 38min,"Animation, Adventure, Family",27 June 2008 (USA),https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt
8.4,Django Unchained ,2012,2h 45min,"Drama, Western",25 December 2012 (USA),https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt
8.4,Drishyam ,2013,2h 40min,"Crime, Drama, Thriller",19 December 2013 (India),https://www.imdb.com/title/tt3417422/?ref_=adv_li_tt
8.4,Coco ,2017,1h 45min,"Animation, Adventure, Family",22 November 2017 (USA),https://www.imdb.com/title/tt2380307/?ref_=adv_li_tt
8.4,Avengers: Infinity War ,2018,2h 29min,"Action, Adventure, Sci-Fi",27 April 2018 (USA),https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt
8.4,Dangal ,2016,2h 41min,"Action, Biography, Drama",21 December 2016 (USA),https://www.imdb.com/title/tt5074352/?ref_=adv_li_tt
